Currency,Description,Amount,Balance,Date
BTC,Settlement @ 315.12 on Margin wallet,-0.00007002,0.49974962,2014-10-07 19:33:05
BTC,Settlement @ 315.01 on Margin wallet,-0.00018036,0.49981964,2014-10-07 19:13:28
