Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2018-01-25 21:41:54,CNDBTC,SELL,0.00002603,636,0.01655508,0.00698852,BNB
2018-01-25 15:43:44,CNDBTC,BUY,0.00002555,636,0.0162498,0.00687271,BNB
2018-01-21 20:37:11,LINKBTC,SELL,0.0000747,200,0.01494,0.00613754,BNB
2018-01-21 14:41:15,LINKBTC,BUY,0.0000811,200,0.01622,0.00686949,BNB
2017-12-10 00:17:34,EOSETH,SELL,0.008718,9.99,0.08709282,0.00008709,ETH
2017-12-09 15:29:14,EOSETH,BUY,0.00846,10,0.0846,0.01,EOS
