Date/time 	Type 	In 	Out 	Info
2015-05-13 01:33:07 	Transaction 	5243.25591398 GPH 	0.06351800 BTC 	Order execution Buy 5253.76344086 -0.2% GPH for 0.063518 BTC (rates: 82712.98593879 / 0.00001209)
2015-05-13 01:47:37 	Transaction 	4014.34988913 GPH 	0.03628200 BTC 	Order execution Buy 4022.39467849 -0.2% GPH for 0.036282 BTC (rates: 110864.74501109 / 0.00000902)
2015-06-28 21:19:40 	Transaction 	0.000469060 BTC 	1000.00000000 GPH 	Sell 1000 GPH for 0.00047 - 0.2% BTC (rates: 212765.957446809 / 0.0000047)
