"","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33","TC_1_1.34","TC_1_1.35","TC_1_1.36","TC_1_1.37"
"05 DIC2008",1.2665,116.9100,1.5380,0.86660,10.5788,7.4495,9.1420,1.6354,1.9895,2.4016,0.8534,"_",25.7650,265.3200,3.8865,15.6466,30.1900,"_",0.7093,3.8558,1.9558,62.6110,2.0100,3.4528,9.8164,1.9309,13.0880,1860.8100,8.7150,7.1816,14754.7300,4.6069,62.1200,35.7265,45.1700,17.3099,3.2246
"08 DIC2008",1.2854,120.1000,1.5590,0.86510,10.4150,7.4497,9.1270,1.6067,1.9377,2.3690,0.8620,"_",25.7120,264.4500,3.8875,15.6466,30.1950,"_",0.7093,3.8795,1.9558,63.5610,2.0341,3.4528,9.9633,1.9400,13.1246,1865.5300,8.8436,7.1948,14974.9100,4.6756,62.4700,36.0075,45.7020,17.3209,3.1580
"09 DIC2008",1.2838,118.8500,1.5593,0.87110,10.5063,7.4499,9.1500,1.6171,1.9596,2.3730,0.8615,"_",25.7380,263.2800,3.9220,15.6466,30.1810,"_",0.7091,3.8913,1.9558,63.1560,2.0340,3.4528,9.9500,1.9321,13.0851,1837.7600,8.8242,7.1856,14185.9900,4.6441,62.3200,35.9805,45.5040,17.2928,3.1845
"10 DIC2008",1.2925,119.7700,1.5587,0.87325,10.5670,7.4499,9.1285,1.6295,1.9665,2.3696,0.8649,"_",25.9000,263.7500,3.9566,15.6466,30.1890,"_",0.7092,3.8780,1.9558,62.7880,2.0280,3.4528,10.0171,1.9393,13.1916,1790.7600,8.8708,7.1923,14185.1900,4.6724,62.4700,36.0941,45.7480,17.4681,3.2406
"11 DIC2008",1.3215,120.6700,1.5737,0.88690,10.5800,7.4503,9.2065,1.6383,1.9889,2.3990,0.8765,"_",25.9650,264.4500,3.9865,15.6466,30.1750,"_",0.7092,3.9138,1.9558,63.4740,2.0504,3.4528,10.2417,1.9704,13.3991,1800.5400,9.0540,7.1818,14602.5800,4.7138,63.1300,36.7912,46.3450,17.5615,3.1663
"12 DIC2008",1.3340,120.2100,1.5746,0.89235,10.6625,7.4499,9.2110,1.6598,2.0291,2.4500,0.8794,"_",25.9900,264.5000,3.9592,15.6466,30.1700,"_",0.7095,3.9290,1.9558,64.2050,2.0987,3.4528,10.3384,1.9876,13.5835,1833.5800,9.1282,7.1805,15074.2000,4.7791,64.2300,37.0077,46.7100,17.8723,3.1993
"15 DIC2008",1.3510,122.4200,1.5789,0.89940,10.8650,7.4502,9.3220,1.6555,2.0246,2.4441,0.8875,"_",26.1570,266.7400,3.9949,15.6466,30.1610,"_",0.7092,3.9400,1.9558,64.5110,2.1172,3.4528,10.4703,1.9920,13.8160,1859.3500,9.2544,7.1781,15117.6900,4.8129,64.3800,37.5615,47.1230,18.4344,3.2481
"16 DIC2008",1.3690,123.2000,1.5814,0.89360,11.0440,7.4510,9.5150,1.6832,2.0374,2.4318,0.8923,"_",26.3710,268.3800,4.0555,15.6466,30.1800,"_",0.7086,3.9465,1.9558,65.5900,2.1448,3.4528,10.6103,2.0196,14.1000,1869.1600,9.3729,7.1865,15282.1500,4.8702,65.1600,37.8234,47.6140,18.2659,3.2705
"17 DIC2008",1.4059,124.3500,1.5640,0.91855,11.0075,7.4502,9.5150,1.7004,2.0469,2.4298,0.9027,"_",26.2550,265.0500,4.0885,15.6466,30.1970,"_",0.7087,3.9481,1.9558,66.8690,2.1779,3.4528,10.8960,2.0491,14.0379,1836.4600,9.6103,7.2066,15500.0500,4.9635,65.9400,38.7895,48.5810,18.4454,3.3228
"18 DIC2008",1.4616,129.2200,1.5368,0.95090,11.0475,7.4496,9.8650,1.7433,2.0735,2.4415,0.9254,"_",26.5620,268.6100,4.1670,15.6466,30.1800,"_",0.7088,3.9692,1.9558,68.3450,2.1938,3.4528,11.3274,2.0880,14.2689,1884.3700,9.9820,7.2353,16150.6800,5.0608,68.2600,39.8258,50.1840,19.2493,3.4374
