"","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33","TC_1_1.34","TC_1_1.35","TC_1_1.36","TC_1_1.37"
"NÚMERO SECUENCIAL",573234,573220,573204,573214,573230,573210,573224,573202,573200,573226,573236,573206,573208,573218,573228,573212,710584,710585,710588,1177974,710590,1666106,1148988,710593,710586,710587,710594,710595,1161054,1161056,1161060,1161036,1161040,1161044,1161048,1610012,1610010
"DESCRIPCIÓN DE LA SERIE","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar USA. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Yen japonés. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Franco suizo. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Libra esterlina. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona sueca. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona danesa. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona noruega. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar canadiense. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar australiano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar neozelandés. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Derechos especiales de giro. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Libra chipriota. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona checa. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Forint húngaro. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Zloty polaco. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona estona. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona eslovaca. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Corona islandesa. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Lats letón. Moneda base: Euro. ","Tipos de cambio. Nuevos lei rumanos por euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Lev búlgaro. Moneda base: Euro. ","Tipos de cambio. Rupias indias por euro","Tipos de cambio. Nuevas liras turcas por euro.","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Litas lituano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar de Hong Kong. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Dólar de Singapur. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Rand sudafricano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Won surcoreano. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Yuan renminbi chino. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Kuna croata. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Rupia indonesia. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Ringgit malasio. Moneda base: Euro. ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Peso filipino. Moneda base: Euro. ","Tipos de cambio. Rublos rusos por euro ","Tipos de cambio de monedas. Tipo de cambio de contado del Banco Central Europeo. Baht tailandes. Moneda base: Euro. ","Tipos de cambio. Pesos mejicanos por euro ","Tipos de cambio. Reales brasileños por euro"
"DESCRIPCIÓN DE LAS UNIDADES","Dólares de Estados Unidos por Euro","Yenes japoneses por Euro","Francos suizos por Euro","Libras esterlinas por Euro","Coronas suecas por Euro","Coronas danesas por Euro","Coronas noruegas por Euro","Dólares canadienses por Euro","Dólares australianos por Euro","Dólares neozelandeses por Euro","SDR (Derechos especiales de giro) por Euro","Libras chipriotas por Euro","Coronas checas por Euro","Forints húngaros por Euro","Zlotys polacos por Euro","Coronas estonas por Euro","Coronas eslovacas por Euro","Coronas islandesas por Euro","Lati letones por Euro","Lei rumanos por Euro","Leva búlgaros por Euro","Rupias indias por euro","Liras turcas por Euro","Litai lituanos por Euro","Dólares de Hong Kong por Euro","Dólares de Singapur por Euro","Rands sudafricanos por Euro","Wons surcoreanos por Euro","Yuans por Euro","Kunas por Euro","Rupias indonesias por Euro","Ringgits malayo por Euro","Pesos filipinos por Euro","Rublos rusos por Euro","Bahts de tailandia por Euro","Pesos mejicanos por Euro","Reales brasileños por Euro"
"04 ENE1999",1.1789,133.7300,1.6168,0.71110,9.4696,7.4501,8.8550,1.8004,1.9100,2.2229,0.8356,0.5823,35.1070,251.4800,4.0712,15.6466,42.9910,81.4800,0.6668,13111.0000,"_","_",372274.0000,4.7170,9.1332,1.9554,6.9358,1398.5900,"_","_",9433.6100,4.4798,45.5100,25.2875,42.6799,11.6446,"_"
"05 ENE1999",1.1790,130.9600,1.6123,0.71220,9.4025,7.4495,8.7745,1.7965,1.8944,2.2011,0.8325,0.5823,34.9170,250.8000,4.0245,15.6466,42.8480,81.5300,0.6657,13168.0000,"_","_",372816.0000,4.7174,9.1341,1.9655,6.7975,1373.0100,"_","_",9314.5100,4.4805,44.7450,26.5876,42.5048,11.5960,"_"
"06 ENE1999",1.1743,131.4200,1.6116,0.70760,9.3050,7.4452,8.7335,1.7711,1.8820,2.1890,0.8306,0.5820,34.8500,250.6700,4.0065,15.6466,42.7780,81.5400,0.6649,13168.0000,"_","_",372188.0000,4.6994,9.1010,1.9699,6.7307,1359.5400,"_","_",9337.6800,4.4637,44.8720,27.4315,42.6949,11.4705,"_"
"07 ENE1999",1.1632,129.4300,1.6165,0.70585,9.1800,7.4431,8.6295,1.7602,1.8474,2.1531,0.8246,0.5819,34.8860,250.0900,4.0165,15.6466,42.7650,81.0600,0.6627,13092.0000,"_","_",370147.0000,4.6548,9.0131,1.9436,6.8283,1337.1600,"_","_",9218.7700,4.4203,44.4360,26.9876,42.1678,11.5511,"_"
"08 ENE1999",1.1659,130.0900,1.6138,0.70940,9.1650,7.4433,8.5900,1.7643,1.8406,2.1557,0.8283,0.5819,34.9380,250.1500,4.0363,15.6466,42.5600,80.9900,0.6654,13143.0000,"_","_",371830.0000,4.6643,9.0302,1.9537,6.7855,1366.7300,"_","_",9321.6300,4.4295,44.2950,27.2075,42.5590,11.4414,"_"
"11 ENE1999",1.1569,126.3300,1.6104,0.70440,9.0985,7.4433,8.5585,1.7463,1.8134,2.1257,0.8191,0.5817,35.1730,249.7000,4.0320,15.6466,42.5090,80.5500,0.6586,12980.0000,"_","_",372471.0000,4.6296,8.9655,1.9358,6.7910,1356.7000,"_","_",9255.6100,4.3970,43.5650,27.0148,41.9568,11.4322,"_"
"12 ENE1999",1.1520,129.6300,1.6072,0.70660,9.0955,7.4430,8.6100,1.7392,1.8090,2.1210,0.8234,0.5814,35.2500,249.2000,4.0330,15.6466,42.4900,80.5900,0.6601,12912.0000,"_","_",372105.0000,4.6088,8.9246,1.9343,6.9581,1353.4300,"_","_",9301.2000,4.3770,43.6560,26.6366,41.9850,11.4897,"_"
"13 ENE1999",1.1744,131.8900,1.5931,0.70840,9.1400,7.4432,8.7470,1.8123,1.8620,2.1744,0.8332,0.5819,36.1130,255.0100,4.2033,15.6466,42.7940,81.2400,0.6676,13149.0000,"_","_",376350.0000,4.6986,9.1008,1.9815,7.2543,1377.9300,"_","_",10215.5900,4.4634,45.5730,26.4489,43.4924,12.8946,"_"
"14 ENE1999",1.1653,132.7400,1.5934,0.70620,9.1350,7.4437,8.7245,1.7707,1.8353,2.1570,0.8299,0.5819,35.6980,253.8400,4.1335,15.6466,42.7570,80.9300,0.6659,13134.0000,"_","_",375101.0000,4.6636,9.0288,1.9615,7.1316,1382.2300,"_","_",10081.1600,4.4286,44.8700,26.5723,43.1217,12.1499,"_"
"15 ENE1999",1.1626,131.7400,1.5984,0.70390,9.1570,7.4441,8.7150,1.7797,1.8388,2.1582,0.8261,0.5819,35.8600,253.3400,4.2000,15.6466,42.7380,80.7000,0.6617,13164.0000,"_","_",374193.0000,4.6516,9.0102,1.9570,7.2197,1375.7600,"_","_",10414.7000,4.4172,44.9870,26.5662,43.4042,12.8495,"_"
"18 ENE1999",1.1612,132.9000,1.6004,0.70130,9.0930,7.4431,8.6575,1.7717,1.8292,2.1671,0.8292,0.5816,35.6150,250.7800,4.0667,15.6466,42.7200,80.6200,0.6625,13263.0000,"_","_",382036.0000,4.6457,8.9944,1.9549,6.9596,1371.2600,"_","_",9809.1900,4.4112,44.4030,27.2075,42.3188,11.8813,"_"
"19 ENE1999",1.1616,132.1400,1.6001,0.70000,9.0045,7.4380,8.6300,1.7739,1.8295,2.1614,0.8271,0.5818,35.7450,250.6400,4.0973,15.6466,42.7370,80.5200,0.6610,13335.0000,"_","_",382052.0000,4.6460,8.9944,1.9521,7.0161,1364.4700,"_","_",9955.1600,4.4056,44.5210,26.7599,42.3747,11.9167,"_"
"20 ENE1999",1.1575,131.5900,1.6024,0.70140,8.9645,7.4378,8.6000,1.7626,1.8064,2.1499,0.8255,0.5817,35.7730,249.9900,4.0847,15.6466,42.6670,80.4900,0.6591,13274.0000,"_","_",380440.0000,4.6285,8.9605,1.9398,6.9450,1349.2400,"_","_",9802.6200,4.3884,44.3460,26.8922,42.1600,11.7196,"_"
"21 ENE1999",1.1572,130.3400,1.6030,0.70230,8.9430,7.4385,8.6050,1.7529,1.8171,2.1489,0.8247,0.5816,36.0600,250.1700,4.1277,15.6466,42.8270,80.3200,0.6595,13282.0000,"_","_",380335.0000,4.6298,8.9647,1.9368,6.9797,1356.8200,"_","_",10008.5000,4.3966,44.1400,26.6122,42.1745,11.9229,"_"
"22 ENE1999",1.1567,131.8800,1.5983,0.70050,9.0110,7.4372,8.6225,1.7515,1.8225,2.1519,0.8253,0.5817,36.2870,250.1600,4.1587,15.6466,42.9060,80.4400,0.6603,13285.0000,"_","_",378192.0000,4.6326,8.9738,1.9461,7.0300,1365.8000,"_","_",10303.5500,4.3935,44.6870,27.0034,42.6613,11.8665,"_"
"25 ENE1999",1.1584,132.0900,1.5966,0.69890,8.9400,7.4367,8.6125,1.7620,1.8317,2.1659,0.8267,0.5817,36.2110,250.4700,4.1607,15.6466,42.9430,80.2700,0.6604,13318.0000,"_","_",380138.0000,4.6345,8.9765,1.9557,7.0241,1366.1600,"_","_",10829.6500,4.4014,44.8830,26.8714,42.6816,11.8547,"_"
"26 ENE1999",1.1582,131.8100,1.6022,0.69760,8.9210,7.4360,8.6125,1.7609,1.8391,2.1669,0.8255,0.5819,36.6150,250.6900,4.1837,15.6466,42.9350,80.0400,0.6621,13328.0000,"_","_",380468.0000,4.6305,8.9808,1.9512,6.9955,1360.4700,"_","_",10618.7000,4.3979,44.5000,26.6191,42.4632,11.8397,"_"
"27 ENE1999",1.1529,131.9100,1.6082,0.69680,8.8820,7.4358,8.5985,1.7526,1.8313,2.1594,0.8240,0.5815,36.4640,250.0800,4.1588,15.6466,42.8930,79.8800,0.6607,13302.0000,"_","_",379757.0000,4.6137,8.9350,1.9446,6.9666,1354.5500,"_","_",10579.2400,4.3758,44.5660,26.5778,42.3458,11.7160,"_"
"28 ENE1999",1.1410,132.2500,1.6129,0.69280,8.8650,7.4359,8.5700,1.7374,1.8262,2.1365,0.8196,0.5812,36.4320,249.3400,4.1381,15.6466,42.7130,79.6800,0.6572,13199.0000,"_","_",378453.0000,4.5658,8.8428,1.9290,6.9145,1341.0700,"_","_",10440.6300,4.3357,44.0980,26.1643,42.1618,11.6284,"_"
"29 ENE1999",1.1384,132.1000,1.6123,0.69100,8.8800,7.4359,8.5785,1.7260,1.8087,2.1107,0.8191,0.5811,36.8270,249.2400,4.1610,15.6466,42.7260,79.5900,0.6551,13280.0000,"_","_",377866.0000,4.5543,8.8192,1.9233,6.8804,1337.3300,"_","_",10158.0000,4.3249,43.8190,26.3482,42.0319,11.6205,"_"
"01 FEB1999",1.1338,130.8800,1.6089,0.69040,8.8600,7.4363,8.5395,1.7123,1.7882,2.0861,0.8154,0.5811,37.1420,248.9700,4.2360,15.6466,42.8830,79.6600,0.6523,13407.0000,"_","_",379647.0000,4.5355,8.7839,1.9169,6.8425,1331.5800,"_","_",10089.0700,4.3018,43.6990,26.2429,41.6939,11.4716,"_"
"02 FEB1999",1.1337,127.7000,1.6002,0.68880,8.8775,7.4368,8.5845,1.7079,1.7741,2.0760,0.8139,0.5809,37.3950,248.9900,4.2296,15.6466,42.7040,79.5000,0.6506,13596.0000,"_","_",380186.0000,4.5359,8.7849,1.9114,6.8135,1326.4300,"_","_",9975.7100,4.3081,43.7040,26.4356,41.6032,11.4046,"_"
"03 FEB1999",1.1337,126.8600,1.5975,0.69250,8.9150,7.4372,8.6250,1.7151,1.7609,2.0566,0.8127,0.5809,37.1680,249.0000,4.2014,15.6466,42.4690,79.6000,0.6500,13660.0000,"_","_",380242.0000,4.5373,8.7874,1.9132,6.8135,1327.1800,"_","_",9554.3900,4.3094,43.6100,26.5368,41.5970,11.4058,"_"
"04 FEB1999",1.1263,127.6500,1.6017,0.68940,8.8990,7.4362,8.6425,1.6951,1.7541,2.0461,0.8102,0.5807,37.1580,248.7700,4.1512,15.6466,42.4190,79.3200,0.6449,13655.0000,"_","_",380233.0000,4.5079,8.7296,1.9009,6.7922,1318.5100,"_","_",9771.9800,4.2806,43.4810,26.1337,41.3915,11.4007,"_"
"05 FEB1999",1.1292,127.9500,1.6012,0.68850,8.8720,7.4358,8.6725,1.6765,1.7294,2.0431,0.8101,0.5809,37.3650,248.9100,4.1753,15.6466,42.4580,79.4400,0.6451,13819.0000,"_","_",382365.0000,4.5189,8.7520,1.9070,6.8119,1321.3400,"_","_",9880.9500,4.2912,43.5890,26.2495,41.5339,11.3942,"_"
"08 FEB1999",1.1246,127.8200,1.6018,0.68880,8.8570,7.4355,8.6200,1.6725,1.7230,2.0149,0.8095,0.5808,37.7100,248.6400,4.1958,15.6466,42.5570,79.3500,0.6436,13718.0000,"_","_",382257.0000,4.4977,8.7144,1.9002,6.6959,1322.1900,"_","_",10008.5000,4.2734,44.3080,25.9603,41.5297,11.3243,"_"
"09 FEB1999",1.1333,129.9100,1.5999,0.69110,8.9070,7.4356,8.6505,1.6944,1.7548,2.0411,0.8156,0.5809,38.3580,249.7500,4.2560,15.6466,42.6900,79.5800,0.6509,13724.0000,"_","_",384410.0000,4.5329,8.7841,1.9182,6.8990,1332.2600,"_","_",9916.8300,4.3068,44.8240,26.0048,42.0247,11.4574,"_"
"10 FEB1999",1.1342,130.7300,1.5963,0.69540,8.9330,7.4347,8.6425,1.6945,1.7569,2.0549,0.8169,0.5809,38.1350,251.0500,4.2448,15.6466,42.7070,79.6500,0.6539,13773.0000,"_","_",385237.0000,4.5367,8.7883,1.9202,6.9361,1335.8100,"_","_",9756.2800,4.3102,44.2930,25.9222,42.0541,11.4446,"_"
"11 FEB1999",1.1312,129.3500,1.5966,0.69750,8.9190,7.4347,8.6435,1.6850,1.7427,2.0481,0.8142,0.5809,37.9400,249.6400,4.2520,15.6466,42.8260,79.7000,0.6498,13848.0000,"_","_",384852.0000,4.5277,8.7701,1.9104,6.8575,1329.9700,"_","_",9844.5000,4.3007,43.6010,26.0993,41.7825,11.2921,"_"
"12 FEB1999",1.1244,128.9200,1.5992,0.69170,8.9305,7.4347,8.6075,1.6752,1.7459,2.0550,0.8111,0.5807,37.8600,249.3200,4.2302,15.6466,42.9970,79.6100,0.6470,13664.0000,"_","_",386971.0000,4.5011,8.7163,1.9037,6.8560,1322.2000,"_","_",9841.5800,4.2740,43.3030,26.0043,41.5315,11.2588,"_"
"15 FEB1999",1.1238,129.3100,1.5950,0.68950,8.8815,7.4348,8.5930,1.6781,1.7353,2.0531,0.8104,0.5807,38.1970,249.6600,4.2612,15.6466,42.9310,79.5100,0.6466,13663.0000,"_","_",386261.0000,4.4960,8.7086,1.8973,6.8819,1320.9100,"_","_",9663.4000,4.2643,43.4290,26.0406,41.2717,11.1818,"_"
"16 FEB1999",1.1176,131.8200,1.5975,0.68540,8.8530,7.4347,8.6205,1.6807,1.7467,2.0854,0.8108,0.5805,38.2300,249.5600,4.2747,15.6466,42.9460,79.6800,0.6458,13694.0000,"_","_",385622.0000,4.4716,8.6603,1.8976,6.9198,1313.1300,"_","_",9778.5700,4.2411,43.0260,25.8545,41.2432,11.1095,"_"
"17 FEB1999",1.1253,133.4800,1.5973,0.68730,8.9070,7.4351,8.6955,1.6880,1.7751,2.0920,0.8157,0.5807,37.9700,251.0900,4.2790,15.6466,42.9640,79.9200,0.6492,13794.0000,"_","_",388150.0000,4.5058,8.7223,1.9117,6.8981,1323.1100,"_","_",9852.9500,4.2734,43.5780,26.0794,41.6076,11.1817,"_"
"18 FEB1999",1.1232,134.4000,1.5982,0.68710,8.9275,7.4348,8.7385,1.6760,1.7687,2.0842,0.8161,0.5807,37.9930,252.0600,4.2840,15.6466,43.0730,79.9300,0.6491,13857.0000,"_","_",388138.0000,4.4942,8.7020,1.9099,6.9526,1327.4500,"_","_",9911.3800,4.2680,43.4660,25.9279,41.6109,11.1136,"_"
"19 FEB1999",1.1163,133.9700,1.5982,0.68380,8.9110,7.4346,8.7075,1.6616,1.7502,2.0562,0.8129,0.5805,37.7730,251.8800,4.2589,15.6466,43.6260,79.7500,0.6467,13826.0000,"_","_",388772.0000,4.4682,8.6551,1.9067,6.9573,1345.4300,"_","_",9854.4500,4.2390,43.4510,25.8225,41.8521,11.0807,"_"
"22 FEB1999",1.0992,133.6100,1.5986,0.67890,8.9075,7.4345,8.6885,1.6351,1.7237,2.0397,0.8075,0.5800,37.8730,250.1200,4.2608,15.6466,43.8880,79.5700,0.6397,13680.0000,"_","_",386147.0000,4.3997,8.5185,1.8845,6.8510,1337.4800,"_","_",9785.1200,4.1779,43.1260,25.2379,41.4548,10.9243,"_"
"23 FEB1999",1.0969,133.1400,1.5954,0.67960,8.9085,7.4344,8.6745,1.6423,1.7145,2.0390,0.8050,0.5799,37.8470,249.9000,4.2408,15.6466,43.8460,79.3600,0.6387,13798.0000,"_","_",385700.0000,4.3804,8.4820,1.8853,6.8315,1326.1700,"_","_",9687.6700,4.1596,42.6920,25.1113,41.1041,10.8699,"_"
"24 FEB1999",1.1037,133.8600,1.5940,0.68830,8.9115,7.4345,8.6540,1.6582,1.7465,2.0768,0.8103,0.5799,37.9920,252.2300,4.2813,15.6466,43.9600,79.5400,0.6441,14068.0000,"_","_",388056.0000,4.4158,8.5495,1.9046,6.7871,1343.4500,"_","_",9710.3800,4.1930,43.0900,25.4070,41.4346,10.9628,"_"
"25 FEB1999",1.1031,132.8700,1.5905,0.68880,8.9740,7.4346,8.6965,1.6543,1.7566,2.0902,0.8085,0.5800,37.9940,252.5600,4.3051,15.6466,43.9200,79.4900,0.6451,14169.0000,"_","_",388487.0000,4.4160,8.5466,1.9063,6.8254,1350.6900,"_","_",9752.1900,4.1933,43.0180,25.4081,41.4089,10.9854,"_"
"26 FEB1999",1.1018,131.3300,1.5890,0.68730,9.0025,7.4344,8.6965,1.6684,1.7819,2.1071,0.8068,0.5800,37.9080,253.9100,4.3482,15.6466,43.9580,79.5500,0.6432,14075.0000,"_","_",388147.0000,4.4108,8.5382,1.8965,6.8064,1348.5500,"_","_",9726.9300,4.1876,42.9230,25.4829,41.1286,10.9870,"_"
"01 MAR1999",1.0986,131.1300,1.5930,0.68290,9.0005,7.4347,8.6475,1.6579,1.7766,2.0936,0.8044,0.5799,37.5700,254.5300,4.3074,15.6466,43.8430,79.1600,0.6413,14079.0000,"_","_",390183.0000,4.3975,8.5139,1.8943,6.7716,1340.1700,"_","_",9738.1300,4.1760,42.8050,25.3933,40.9578,10.8577,"_"
"02 MAR1999",1.0887,131.3700,1.5912,0.67640,8.9850,7.4345,8.6520,1.6605,1.7492,2.0600,0.7910,0.5795,37.5830,252.1400,4.3210,15.6466,43.7280,78.9300,0.6372,14117.0000,"_","_",388646.0000,4.3568,8.4354,1.8879,6.7916,1333.0100,"_","_",9652.6600,4.1373,42.4610,25.2723,40.8663,10.8276,"_"
"03 MAR1999",1.0899,132.1800,1.5926,0.67230,8.9900,7.4345,8.6475,1.6615,1.7454,2.0567,0.8014,0.5797,37.5510,254.0200,4.3370,15.6466,43.6460,78.8700,0.6373,14316.0000,"_","_",389288.0000,4.3598,8.4416,1.8907,6.7883,1339.2600,"_","_",9660.6400,4.1399,42.5430,25.3694,41.0073,10.8673,"_"
"04 MAR1999",1.0866,133.9200,1.5883,0.67590,8.9600,7.4344,8.6155,1.6609,1.7494,2.0670,0.8027,0.5795,37.5180,254.6200,4.3093,15.6466,43.5700,78.9600,0.6383,14559.0000,"_","_",388976.0000,4.3455,8.4176,1.8855,6.7798,1346.0400,"_","_",9664.9700,4.1285,42.5890,25.4276,40.9675,10.8028,"_"
"05 MAR1999",1.0834,133.1900,1.5912,0.67370,8.9355,7.4324,8.5800,1.6489,1.7329,2.0498,0.8006,0.5794,37.2830,253.1600,4.2490,15.6466,43.8740,78.7700,0.6372,14506.0000,"_","_",389948.0000,4.3347,8.3959,1.8727,6.7342,1345.3100,"_","_",9490.6000,4.1169,42.3610,25.3326,40.6113,10.7045,"_"
"08 MAR1999",1.0908,132.7700,1.5933,0.67760,8.9480,7.4322,8.5785,1.6527,1.7348,2.0413,0.8028,0.5797,37.6030,250.5100,4.2568,15.6466,43.9400,78.8000,0.6389,14160.0000,"_","_",391539.0000,4.3572,8.4490,1.8821,6.7119,1349.4600,"_","_",9759.5400,4.1388,42.3680,25.5166,40.5048,10.7499,"_"
"09 MAR1999",1.0863,132.4500,1.5931,0.67540,8.9380,7.4329,8.5605,1.6447,1.7125,2.0354,0.8007,0.5795,37.9670,250.3400,4.2702,15.6466,44.5540,78.6900,0.6387,14573.0000,"_","_",391883.0000,4.3476,8.4209,1.8817,6.6780,1342.5200,"_","_",9753.6100,4.1297,42.4380,25.3974,40.6716,10.5926,"_"
"10 MAR1999",1.0953,131.7400,1.6014,0.67460,8.8925,7.4330,8.5435,1.6607,1.7237,2.0461,0.8031,0.5798,37.9400,252.8300,4.3142,15.6466,44.3800,78.7600,0.6416,14830.0000,"_","_",393857.0000,4.3809,8.4851,1.8950,6.7498,1350.1500,"_","_",9937.5900,4.1557,42.7070,25.5585,41.0097,10.6844,"_"
"11 MAR1999",1.0891,131.0000,1.5972,0.66940,8.8310,7.4327,8.5010,1.6586,1.7144,2.0368,0.7997,0.5796,37.8330,252.8700,4.3050,15.6466,44.4700,78.3500,0.6393,14951.0000,"_","_",393263.0000,4.3582,8.4418,1.8912,6.7279,1339.9700,"_","_",10308.4600,4.1397,42.4870,25.4784,40.9615,10.6380,"_"
"12 MAR1999",1.0932,130.8000,1.5975,0.66860,8.8615,7.4327,8.5285,1.6658,1.7247,2.0522,0.8003,0.5797,37.9900,253.3400,4.2995,15.6466,44.8540,78.5900,0.6394,14818.0000,"_","_",395735.0000,4.3737,8.4693,1.8949,6.7314,1348.5300,"_","_",10057.9200,4.1539,42.6310,25.6914,40.8548,10.6453,"_"
"15 MAR1999",1.0949,128.8500,1.6010,0.67390,8.8785,7.4325,8.5275,1.6712,1.7325,2.0483,0.7999,0.5798,37.8500,253.4600,4.3103,15.6466,44.6580,78.6500,0.6397,15212.0000,"_","_",396700.0000,4.3791,8.4867,1.8767,6.8106,1347.4600,"_","_",9579.9500,4.1612,42.5430,25.7884,40.8325,10.6115,"_"
"16 MAR1999",1.0901,128.6500,1.5995,0.67030,8.9690,7.4322,8.5515,1.6658,1.7365,2.0613,0.7989,0.5795,38.0500,253.6600,4.3107,15.6466,44.2500,78.4500,0.6395,15931.0000,"_","_",396161.0000,4.3562,8.4414,1.8773,6.8185,1335.9700,"_","_",9584.1000,4.1392,42.3170,25.5558,40.5145,10.5331,"_"
"17 MAR1999",1.0966,130.1800,1.5987,0.67440,8.9780,7.4317,8.5400,1.6685,1.7502,2.0842,0.8020,0.5798,37.9600,253.8100,4.3070,15.6466,44.5460,78.7700,0.6445,17825.0000,"_","_",398135.0000,4.3864,8.4973,1.8918,6.8592,1345.4100,"_","_",9870.3300,4.1667,42.6540,25.8767,40.9544,10.6106,"_"
"18 MAR1999",1.1012,129.7800,1.5975,0.67600,8.9380,7.4321,8.4790,1.6728,1.7458,2.0721,0.8036,0.5800,37.9900,254.6000,4.3100,15.6466,44.6480,78.8200,0.6471,17891.0000,"_","_",399131.0000,4.4035,8.5329,1.8981,6.8702,1348.7300,"_","_",9936.5400,4.1838,42.8290,26.4686,41.2380,10.6494,"_"
"19 MAR1999",1.0915,127.9900,1.5986,0.67080,8.9370,7.4315,8.4515,1.6543,1.7316,2.0521,0.7969,0.5797,37.9470,253.6400,4.2627,15.6466,44.6200,78.4800,0.6427,16209.0000,"_","_",399184.0000,4.3663,8.4590,1.8818,6.7910,1326.4200,"_","_",9688.8500,4.1485,42.3580,26.3591,40.8114,10.5352,"_"
"22 MAR1999",1.0864,128.0000,1.5966,0.66770,8.9325,7.4317,8.4445,1.6426,1.7174,2.0381,0.7951,0.5795,38.1420,253.2500,4.2805,15.6466,44.7020,78.3100,0.6384,16187.0000,"_","_",398510.0000,4.3456,8.4195,1.8765,6.7055,1328.4600,"_","_",9658.5600,4.1284,42.0790,26.4442,40.7799,10.5603,"_"
"23 MAR1999",1.0896,128.9400,1.5945,0.67060,8.9320,7.4315,8.4435,1.6415,1.7044,2.0221,0.7976,0.5796,38.3030,254.1200,4.2888,15.6466,44.7000,78.5200,0.6389,16242.0000,"_","_",399861.0000,4.3578,8.4419,1.8883,6.7520,1334.8500,"_","_",9696.1200,4.1400,42.2170,26.8005,40.8217,10.5426,"_"
"24 MAR1999",1.0928,128.6000,1.5908,0.66530,8.9695,7.4314,8.4480,1.6470,1.7094,2.0301,0.7977,0.5797,38.5830,256.1100,4.3521,15.6466,44.7040,78.6100,0.6396,15846.0000,"_","_",400908.0000,4.3725,8.4693,1.8850,6.7918,1336.7800,"_","_",9671.7400,4.1525,42.2900,28.7202,41.0584,10.5962,"_"
"25 MAR1999",1.0898,128.6500,1.5944,0.66680,9.0070,7.4315,8.4635,1.6471,1.7102,2.0329,0.7968,0.5797,38.4570,255.2500,4.3165,15.6466,44.7140,78.4800,0.6383,15873.0000,"_","_",400718.0000,4.3586,8.4371,1.8808,6.7808,1332.3900,"_","_",9640.7600,4.1396,42.1580,29.9573,40.9759,10.5287,"_"
